Milwaukee Bucks,67,2713,5881,778,2738,1445,1403,628,2683,6546,3258,1496,587,209,1020,1108
Houston Rockets,79,2517,5792,1046,1811,1584,1778,590,2749,7588,2819,1551,639,503,897,1575
Dallas Mavericks,66,3188,6294,1017,2602,1537,1700,886,1900,8096,2858,1892,628,405,1087,1110
LA Clippers,64,2528,6034,971,2622,1115,1793,840,2197,7178,3862,1916,541,406,813,1125
New Orleans Pelicans,70,2614,6728,1005,1957,1276,1962,683,2245,8403,2748,1709,665,292,817,1574
Portland Trail Blazers,78,2688,6636,964,2531,1446,1388,769,2145,7361,2942,1801,477,326,907,1225
Washington Wizards,82,3474,6359,932,2181,1815,1623,570,1881,7352,3481,1576,531,317,917,1519
San Antonio Spurs,63,3391,5442,1028,2098,1666,1926,803,2574,6865,3942,1258,572,590,875,1735
Boston Celtics,75,2653,6655,931,1924,1999,1943,642,1875,6140,3557,1540,650,291,969,1466
Phoenix Suns,73,2861,5263,776,2125,1521,1915,789,2005,8695,2906,1988,621,301,1140,1385
Los Angeles Lakers,63,2789,5396,1196,2024,1387,1849,559,1985,6037,3869,1863,458,573,1041,1350
Minnesota Timberwolves,70,3340,5141,863,1903,1957,1554,856,1852,8355,3391,1877,750,320,1031,1636
Toronto Raptors,60,3238,5243,759,2656,1165,1524,838,1968,6722,3993,1508,664,571,1183,1756
Memphis Grizzlies,67,2638,6150,773,2969,1474,1856,766,1933,7811,3546,1236,461,274,1016,1033
Miami Heat,67,2656,5425,901,2550,1807,1916,627,2309,8506,3275,1985,772,517,1129,1693
Atlanta Hawks,68,3447,6973,1039,2071,1094,1543,774,2408,8351,3068,1277,547,295,1117,1731
Brooklyn Nets,74,3412,6186,797,2650,1906,1421,632,2018,6993,2626,1725,405,383,992,1070
Utah Jazz,79,3490,5106,1024,2819,1950,1780,562,1888,6745,3822,1833,612,428,873,1410
Denver Nuggets,68,3269,6264,825,2389,1922,1752,551,2394,8037,3901,1707,646,221,978,1699
Philadelphia 76ers,77,2757,5474,629,2933,1531,1865,683,2222,8098,3006,1921,701,329,983,1667
Oklahoma City Thunder,80,2720,6154,988,2072,1747,1756,504,2476,8559,3175,1391,560,204,1003,1406
Sacramento Kings,72,2627,6166,822,2918,1584,1615,774,2484,7898,3494,1759,487,395,1164,1446
Indiana Pacers,80,2761,5347,1197,1891,1029,1460,561,2323,7146,2855,1767,646,560,1153,1768
Orlando Magic,79,3015,5469,1086,2112,1013,1426,562,2336,6753,3698,1941,474,249,1156,1282
Detroit Pistons,69,2595,6178,1044,2835,1759,1444,585,2003,6535,2735,1847,720,305,1085,1248
Cleveland Cavaliers,67,3177,5762,1138,1844,1778,1577,667,2617,7563,3909,1205,441,349,825,1210
Chicago Bulls,67,2721,6944,648,2662,1644,1471,650,1859,6155,2668,1691,451,493,922,1734
Golden State Warriors,60,2847,5291,942,2042,1784,1556,521,2427,7221,3727,1316,492,378,820,1526
New York Knicks,63,2543,5289,918,2059,1479,1487,820,2321,7757,2959,1774,604,262,951,1564
